Intersection Street 1,Intersection Street 2,LATITUDE,LONGITUDE
Chaplin Cres,Davisville Ave,,
Don Mills Rd,Sheppard Ave E,43.7750966,-79.3476976
Kingston Rd,Galloway Rd,,
Kingston Rd,Celeste Dr,,
Starview Lane,Humber River Recreational Trl,,
Lawrence Ave W,Weston Rd,43.7003032,-79.5169063
Humber River Trl,Humber River Recreational Trl,43.6635307,-79.5112486
Foxwell St,Scarlett Rd,43.6691521,-79.5012572
Dundas St W,Runnymede Rd,43.6654192,-79.4819349
F G Gardiner Xy W,Lake Shore Blvd W,,
Mould Ave,Pritchard Ave,43.6705238,-79.4881614
Foxwell St,Jane St,43.671596,-79.4941188
Finch Ave E,Adirondack Gt,,
Marine Parade Dr,Lake Shore Blvd W,,
Adirondack Gt,Cross Hill Rd,,
Corley Ave,Eastwood Rd,,
Annette St,Gilmour Ave,,
Queen St W,Portland St,,
Annette St,Laws St,,
Overlea Blvd,Thorncliffe Park Dr,43.7069116,-79.3431815
Lawrence Ave W,Scarlett Rd,43.6977431,-79.5229416
Harding Ave,Jane St,43.6996472,-79.5030627
South Kingsway,Verbena Ave,,
Mould Ave,St Clair Ave W,,
Burbank Dr,Forest Grove Dr,,
Elmer Ave,Norway Ave,,
Finch Ave W,Humber River E Branch,,
Scarlett Rd,St Clair Ave W,43.665958,-79.4990298
Lake Shore Blvd W,Rees St,,
Driftwood Ave,Yorkwoods Gt,,
Parliament St,Mill St,43.6503434,-79.3618901
The West Mall,Bloor St W,43.6354398,-79.5626083
Jane St,Lawrence Ave W,43.7030336,-79.5034365
Symington Ave,Bloor St W,43.6574073,-79.4475866
Avenue Rd N 401 C E Ramp,Avenue Rd,,
Lansdowne Ave,Queen St W,43.6407018,-79.4364721
Silverdale Cres,Valentine Dr,,
Culford Rd,Lawrence Ave W,,
Martin Goodman Trl,The Queensway,,
Denison Rd E,Jane St,,
Glenlake Ave,Pacific Ave,,
Danforth Ave,Dawes Rd,,
O'Connor Dr,Pape Ave,,
Pape Ave,Cosburn Ave,,
Jarvis St,Shuter St,,
Lake Shore Blvd W,Bay St,,
Browns Li N 427 C N Ramp,Brown's Line,,
Mossom Rd,South Kingsway,,
The Pond Rd,Keele St,,
Yonge Blvd,Yonge St,,
Enroutes St,Dengate Rd,,
Leslie St,Dexter Blvd,,
Pilkington Dr,Danforth Rd,,
Leslie St,Finch Ave E,,
F G Gardiner Xy W,Jameson Ave,,
Albion Rd,Walsh Ave,,
Dvp S Lawrence E Ramp,Don Valley Parkway S,,
Phipps St,St Nicholas St,,
High Park Ave,Humberside Ave,,
Finch Ave W,Bathurst St,,
Old Kingston Rd,West Hill Dr,,
Caledonia Rd,Lawrence Ave W,,
Wellington St W,York St,,
Jedburgh Rd,Melrose Ave,,
Monarch Park Ave,Danforth Ave,,
Adelaide St E,Jarvis St,,
O'Connor Dr,Wakunda Pl,,
June Callwood Way,Saulter St,,
Barrington Ave,Lumsden Ave,,
Bayview Ave,Moore Ave,,
Annex Lane,Spadina Rd,,
Doris Ave,Empress Ave,,
Queen St W,Simcoe St,,
Caledonia Rd,Rogers Rd,,
McCowan Rd,Trudelle St,,
Sheppard Ave E,Markham Rd,,
Grant St,Kintyre Ave,,
401 C E Keele St Ramp,Keele St,,
Glenwood Cres,O'Connor Dr,,
Barbara Cres,Taylor Dr,,
Vine Ave,Keele St,,
Lonsdale Rd,Russell Hill Rd,,
Oriole Pkwy,Eglinton Ave W,,
Sheppard Ave E,Birchmount Rd,,
Eglinton Ave W,Black Creek Dr,,
Beltline Trl,Rosedale Valley Trl,,
F G Gardiner Xy W,Spadina Ave,,
Tower Dr,Warden Ave,,
Bertrand Ave,Warden Ave,,
Deans Dr,Fairfax Cres,,
Eglinton Ave E,Rosemount Dr,,
Birchmount Rd,Huntingwood Dr,,
Eglinton Ave E,Birchmount Rd,,
F G Gardiner Xy E,Spadina Ave,,
Albion Rd,Silverstone Dr,,
Evans Ave,Gair Dr,,
Donlands Ave,Glebeholme Blvd,,
Wilson Ave,Julian Rd,,
Eglinton Ave E,Mason Rd,,
Mike Myers Dr,Lawrence Ave E,,
Bergamot Ave,Rexdale Blvd,,
King St W,Portland St,,
Highway 2a E,Kingston Rd,,
Eglinton Ave E,Danforth Rd,,
Seeley Dr,Sheppard Ave W,,
King St W,John St,,
Mc Connell Ave,Carlaw Ave,,
Foxwell St,Glamis Ave,,
Roncesvalles Ave,Westminster Ave,,
Beverley St,College St,,
Jameson Av Gardiner W Ramp,Lake Shore Blvd W,,
Laurentide Dr,York Mills Rd,,
Jameson Ave,Springhurst Ave,,
Rosedale Valley Rd,Sherbourne St N,,
Macpherson Ave,Spadina Rd,,
Carlingview Dr,Dixon Rd,,
King St W,Widmer St,,
Maud St,Richmond St W,,
Bain Ave,Ingham Ave,,
Castlefield Ave,Danesbury Ave,,
Highview Cres,Rosemount Ave,,
Byron Ave,Danforth Ave,,
Gerrard St E,Carlaw Ave,,
Lee Ave,Queen St E,,
Morningside Ave,Finch Ave E,,
St Clair Ave W,Winona Dr,,
Yonge St,Roselawn Ave,,
High Park Ave,Dundas St W,,
Lawrence Ave E,Howden Rd,,
Sheppard Ave W,Keele St,,
Don Valley Parkway N,Gerrard St E,,
Tippett Rd,Wilson Ave,,
Logan Ave,Dundas St E,,
Alladin Ave,Stella St,,
Black Creek Dr,Photography Dr,,
Queen St W,Bathurst St,,
Eglinton Ave E,Warden Ave,,
Evans Ave,Ourland Ave,,
427 C S Browns Li Ramp,Brown's Line,,
Weston Rd,Black Creek Dr,,
Gerrard St E,Rhodes Ave,,
Lascelles Blvd,Tranmer Ave,,
Invermarge Dr,Gold Brook Gt,,
Anglesey Blvd,Royal York Rd,,
Bathurst St,Bloor St W,,
Annette St,Jane St,,
Lennox St,Bathurst St,,
Palmerston Ave,Yarmouth Gdns,,
Dundas St E,Sherbourne St,,
Grandravine Dr,Keele St,,
Lake Shore Blvd W,York St,,
Ww E Islington S Steeles,Anthia Dr,,
Gerrard St W,La Plante Ave,,
Earl Haig Ave,Hillingdon Ave,,
Dvp N Lawrence W Ramp,Lawrence E Dvp N Ramp,,
Pape Ave,Danforth Ave,,
Bulwer St,Soho St,,
Bushby Dr Mccowan N Ramp,Grangeway Ave,,
Finch Ave W,Sentinel Rd,,
Woodbine Ave,Danforth Ave,,
Brentwood Rd N,Kingsgrove Blvd,,
Boulton Dr,Russell Hill Rd,,
Plastics Ave,Queen Elizabeth Blvd,,
Sheppard Ave E,Neilson Rd,,
Bay St,College St,,
Redberry Pkwy,Rollet Dr,,
Deforest Rd,Durie St,,
Gower St,Dawes Rd,,
Gerrard St E,Parliament St,,
O'Connor Dr,Woodbine Ave,,
Gerrard St E,Victoria Park Ave,,
Morningside Ave,Military Trl,,
Matheson Blvd,Eglinton Ave W,,
Wellesley St E,Wellesley St W,,
Bloor St W,Robert St,,
Finch Ave W,Endell St,,
Victoria Park Ave,Lawrence Ave E,,
Bethridge Rd,Martin Grove Rd,,
Davenport Rd,Bathurst St,,
St Patrick St,Dundas St W,,
Edge Park Ave,Karnwood Dr,,
Lawrence Ave E,Warden Ave,,
Simcoe St,Wellington St W,,
Bayview Ave,Steeles Ave E,,
Mayfield Ave,South Kingsway,,
Greystone Walk Dr,Midland Ave,,
Bayview Ave,Country Lane,,
O'Connor Dr,Sunrise Ave,,
Canadian Rd,Principal Rd,,
Eglinton Ave E,Midland Ave,,
Givins St,Rebecca St,,
Iroquois Lane,Wellesley St E,,
Eglinton E Dvp N Ramp,Don Valley Parkway N,,
Scrivener Sq,Yonge St,,
Bloor St W,Riverside Dr,,
Bainbridge Ave,DeHaviland St,,
Adelaide St W,Simcoe St,,
Milliken Blvd,Passmore Ave,,
Bushby Dr Mccowan N Ramp,McCowan Rd,,
Harbord St,Palmerston Blvd,,
Clinton St,Harbord St,,
Dagmar Ave,Marjory Ave,,
McNicoll Ave,Kennedy Rd,,
Albion Rd,Calstock Dr,,
Chalkfarm Dr,Heathrow Dr,,
Mortimer Ave,Crestland Ave,,
Wynford Dr,Wynford Heights Cres,,
Reigate Rd,Wimbleton Rd,,
Markham St,Dundas St W,,
John Garland Blvd,Kipling Ave,,
Albion Rd,Edgebrook Dr,,
Wellness Way,Bayview Ave,,
Old Orchard Grv,Yonge Blvd,,
Gerrard St E,Church St,,
Bathurst St,Kenton Dr,,
Gerrard St E,Sherbourne St,,
Churchill Ave,Beecroft Rd,,
Roywood Dr,Underpass Gt,,
Glen Rd,South Dr,,
Highway 2a E,Lawson Rd,,
Elm Ave,Glen Rd,,
Martin Goodman Trl,Lake Shore Blvd E,,
Markland Dr,Toledo Rd,,
Martin Grove Rd,Rexdale Blvd,,
The Queensway,Ellis Ave,,
Concord Ave,Bloor St W,,
William Carson Cres,Yonge St,,
Prince Edward Dr S,Kirk Bradden Rd E,,
Hawksbury Dr,Rean Dr,,
Bayview Ave,River St,,
Renault Cres,Royal York Rd,,
Dalhousie St,Queen St E,,
Collingdale Rd,John Garland Blvd,,
Eglinton Ave E,Mount Pleasant Rd,,
St Clair Ave E,Yonge St,,
Damascus Dr,Finch Ave W,,
Brimorton Dr,Deborah Dr,,
Hanson St,Coxwell Ave,,
Jamestown Cres,John Garland Blvd,,
Bloor St E,Bloor St W,,
Sheppard Ave E,Breckon Gt,,
City View Dr,Dixon Rd,,
Wilson Ave,Highview Ave,,
Cherry St,Lake Shore Blvd E,,
Douro St,Strachan Ave,,
Palmer Ave,Secord Ave,,
Dundas St E,River St,,
Old Finch Ave,Morningside Ave,,
Old Mill Dr,Riverside Dr,,
Keele St,Lawrence Ave W,,
Bamburgh Crcl,Huntsmill Blvd,,
Front St W,Spadina Ave,,
Dovercourt Rd,Dundas St W,,
Lanyard Rd,Lindylou Rd,,
Bloor St W,Dundas St W,,
Pape Ave,Queen St E,,
Blossomfield Dr,Dane Ave,,
Combermere Dr,Parkwoods Village Dr,,
Huntley St,Isabella St,,
Yonge St,Elmhurst Ave,,
Beecroft Rd,Elmhurst Ave,,
401 C W Yonge St N Ramp,Yonge St S 401 C W Ramp,,
Celeste Dr,Overture Rd,,
Tiago Ave,Topham Rd,,
Bayview Ave,Lawrence Ave E,,
Academy Rd,Gary Dr,,
Shaughnessy Blvd,Sheppard Ave E,,
Eglinton Ave E,Yonge St,,
Ambrose Rd,Provost Dr,,
Parfield Dr,Shaughnessy Blvd,,
Victoria Park Ave,Parkwoods Village Dr,,
Martin Grove Rd,Richgrove Dr,,
Donlands Ave,Cosburn Ave,,
Forman Ave,Manor Rd E,,
Bathurst St,College St,,
Steeles Ave W,Alness St,,
Steeles Ave W,Hidden Trl,,
Giltspur Dr,Northover St,,
The Pond Rd,James Gillies St,,
Lawrence Ave E,Flerimac Rd,,
Bathurst St,Codsell Ave,,
Main St,Stephenson Ave,,
Finch Ave E,Midland Ave,,
William R Allen Rd N,Lawrence Ave W,,
King St W,Simcoe St,,
Ellesmere Rd,Neilson Rd,,
Queen St E,Sumach St,,
Hillingdon Ave,Woodrow Ave,,
Bayview Ave,Bayview Mews Lane,,
Dods Ave,Ethel Ave,,
Evans Ave,Horner Ave,,
Royal York Rd,The Queensway,,
Glenarden Rd,Old Forest Hill Rd,,
Lawrence Ave E,Mount Pleasant Rd,,
Mount Pleasant Rd,Ranleigh Ave,,
Neilson Dr,West Mall Cres,,
Royal York Rd,Symons St,,
Denison Rd E,Denison Rd W,,
Finch Ave W,Keele St,,
Pape Ave,Riverdale Ave,,
King St W,Shaw St,,
Adelaide St W,Shaw St,,
Ray Ave,Weston Rd,,
Queen St W,University Ave,,
Dovercourt Rd,Sudbury St,,
Oakwood Ave,Rosemount Ave,,
Spadina Ave,College St,,
Fenmar Dr,Weston Rd,,
Finch Ave W,Tobermory Dr,,
Laird Dr,McRae Dr,,
Cranfield Rd,Curity Ave,,
Bayview Ave,Sheppard Ave E,,
Victoria Park Ave,Edge Park Ave,,
Centre Dr,Royal York Rd,,
Albion Rd,Highway 27 N,,
Finch Ave E,Warden Ave,,
Castlefield Ave,Dufferin St,,
401 C E Islington Ramp,401 C E Islington N Ramp,,
Darlingbrook Cres,Glendarling Rd,,
Don Valley Parkway S,Eastern Ave Diversion,,
Davenport Rd,Dupont St,,
Lee Ave,Violet Ave,,
Lake Shore Blvd W,Twenty Ninth St,,
Eglinton Ave E,Kingston Rd,,
Pauline Ave,Wallace Ave,,
Elmer Ave,Kingston Rd,,
Westlake Ave,Danforth Ave,,
Mill Rd,Bloor St W,,
Dolomite Dr,Dufferin St,,
Ryding Ave,Runnymede Rd,,
Ashbridges Bay Park Rd,Martin Goodman Trl,,
Dufferin St,Lawrence Ave W,,
Old Finch Ave,Valley Centre Dr,,
Morningside Ave,Sewell's Rd,,
Bemersyde Dr,Ravensbourne Cres,,
Dupont St,Shaw St,,
Brookhaven Dr,Trethewey Dr,,
Reverend Porter Lane,Carlton St,,
Calvington Dr,Roding St,,
Fort York Blvd,Brunel Crt,,
Driftwood Ave,Milo Park Gt,,
Lawrence Ave E,Overture Rd,,
Huntingwood Dr,Pharmacy Ave,,
Don Mills Rd,Moonstone Byway,,
Gerry Fitzgerald Dr,Dufferin St,,
Main St,Danforth Ave,,
Brandon Ave,Dufferin St,,
Elder Ave,Twenty Ninth St,,
Duval Dr,Lawrence Ave W,,
Jones Ave,Myrtle Ave,,
Birmingham St,Dwight Ave,,
Dundas St E,Sumach St,,
F G Gardiner Xy W,Gardiner W S Kingsway Ramp,,
Jane St,St Clair Ave W,,
Artech Crt,Gosford Blvd,,
Dundas St E,Yonge St,,
Queen St E,Victoria St,,
Ellesmere Rd,Kennedy Rd,,
Huntingwood Dr,McCowan Rd,,
Sergio Marchi St,Torbarrie Rd,,
Birchmount Rd,Ranstone Gdns,,
Walton St,Yonge St,,
Beech Ave,Kingston Rd,,
Fenn Ave,Medalist Rd,,
Shields Ave,Roselawn Ave,,
Highway 27 N,Queen's Plate Dr,,
Bathurst St,Wilson Ave,,
Ln W Jarvis N Shuter,Ln W Jarvis S Shuter,,
Pape Ave,Torrens Ave,,
Benton Rd,Lawrence Ave W,,
Mount Pleasant Rd,Roxborough Dr,,
Lawrence Ave E,Ellington Dr,,
Islington Ave,Eglinton Ave West Trl,,
Dupont St,Lansdowne Ave,,
Davenport Rd,Dufferin St,,
Sherbourne St,Shuter St,,
Don Mills Rd,O'Connor Dr,,
Kingston Rd,Audrey Ave,,
Finch Ave W,Jane St,,
Queen St W,Dufferin St,,
Dundas St E,Ontario St,,
The Queensway,Southport St,,
