hotspot_id,center_latitude,center_longitude,num_complaints,major_complaint,avg_radius_km,max_radius_km,density_falloff,risk_score
0,43.70174417716104,-79.39703409832622,329440,Road - Pot hole,8.502860542178487,24.21451246067911,68170 -> 148325 -> 73771 -> 33267 -> 5907,100.0
4,43.776337751945064,-79.470354103569,1152,Road - Pot hole,0.8592439673348535,1.2642460271885794,96 -> 130 -> 16 -> 617 -> 293,0.3466593813556749
12,43.69336015921401,-79.5845544108608,664,Dead Animal On Expressway,0.6545462545553123,1.210743296331069,7 -> 35 -> 523 -> 56 -> 43,0.19852472452417813
5,43.83186357770528,-79.24891703944061,650,CADAVER WILDLIFE,0.5649499157579486,0.9752098167175847,0 -> 171 -> 199 -> 96 -> 184,0.19427495977901224
1,43.83266968948777,-79.23139234513967,648,Signs,0.5770098585509063,0.9335333120775905,15 -> 110 -> 203 -> 187 -> 12,0.1936678505297028
2,43.7673433502072,-79.54818192368124,261,Traffic Signal Maintenance,0.5658515957828667,1.136857699185465,11 -> 78 -> 88 -> 67 -> 17,0.07619221078833135
18,43.7550090431081,-79.53827507393208,259,Traffic Signal Maintenance,0.322605824056835,0.5168211911212194,9 -> 0 -> 158 -> 36 -> 56,0.07558510153902194
8,43.812971091531104,-79.2430763847675,257,Road - Pot hole,7.073230889886872e-13,7.073230889886872e-13,0 -> 0 -> 0 -> 0 -> 257,0.07497799228971254
10,43.68677670500885,-79.5973955377899,183,Road - Pot hole,0.19759102221939892,0.5112057403676944,0 -> 129 -> 43 -> 3 -> 8,0.05251495006526424
33,43.780278824882245,-79.24420773847154,179,Road - Pot hole,0.05269111766086504,0.1468278393339419,0 -> 144 -> 5 -> 0 -> 30,0.05130073156664541
22,43.67707462183246,-79.59027387395719,167,Traffic Signal Maintenance,0.18538588523972968,0.47618474474454703,82 -> 4 -> 54 -> 0 -> 27,0.04765807607078894
11,43.61230760878669,-79.56267720904079,159,Road - Pot hole,1.2447361756927216e-12,1.2447361756927218e-12,0 -> 0 -> 0 -> 0 -> 159,0.045229639073551285
23,43.748922958671415,-79.63368966851802,121,Traffic Signal Maintenance,0.34236705332981315,0.4588198844879801,0 -> 31 -> 4 -> 16 -> 70,0.03369456333667244
14,43.805760977432335,-79.33705836449549,116,Traffic Signal Maintenance,0.2562549630475456,0.5690278427593208,14 -> 76 -> 4 -> 0 -> 22,0.0321767902133989
6,43.848196995480905,-79.20058632397829,114,Road - Pot hole,1.241425442961805e-12,1.2414254429618046e-12,0 -> 0 -> 0 -> 0 -> 114,0.031569680964089485
17,43.81565075423729,-79.34131789291281,111,Traffic Signal Maintenance,2.9445919236115365e-12,2.944591923611536e-12,0 -> 0 -> 0 -> 0 -> 111,0.03065901709012537
31,43.82514830158149,-79.18886646333787,108,CADAVER WILDLIFE,2.1602889122401353e-12,2.1602889122401353e-12,0 -> 0 -> 0 -> 0 -> 108,0.02974835321616125
